epoch,bestFitness,averageFitness,minFitness
0,0.66,0.557,0.38
1,0.68,0.6020000000000006,0.56
2,0.7,0.6325999999999996,0.6
3,0.72,0.6530000000000001,0.62
4,0.74,0.665799999999999,0.64
5,0.74,0.6771999999999986,0.66
6,0.74,0.6893999999999996,0.66
7,0.76,0.698600000000001,0.68
8,0.76,0.7086000000000015,0.7
9,0.76,0.7128000000000013,0.7
10,0.76,0.7178000000000004,0.7
11,0.76,0.7283999999999992,0.72
12,0.78,0.7323999999999993,0.72
13,0.78,0.7373999999999998,0.72
14,0.78,0.7462000000000001,0.74
15,0.78,0.7515999999999998,0.74
16,0.78,0.7605999999999998,0.74
17,0.78,0.7636000000000003,0.76
18,0.78,0.7674000000000002,0.76
19,0.8,0.7762000000000014,0.76
20,0.8,0.7820000000000007,0.78
21,0.82,0.7868000000000009,0.78
22,0.84,0.7947999999999997,0.78
23,0.84,0.8049999999999984,0.8
24,0.84,0.8095999999999987,0.8
25,0.84,0.8201999999999988,0.8
26,0.86,0.8261999999999986,0.82
27,0.86,0.8335999999999992,0.82
28,0.86,0.8416000000000021,0.84
29,0.86,0.8444000000000019,0.84
30,0.86,0.8486000000000017,0.84
31,0.88,0.8566000000000003,0.84
32,0.88,0.8621999999999995,0.86
33,0.88,0.8655999999999996,0.86
34,0.88,0.8720000000000003,0.86
35,0.88,0.8799999999999996,0.88
36,0.88,0.8799999999999996,0.88
37,0.88,0.8799999999999996,0.88
38,0.88,0.8799999999999996,0.88
39,0.9,0.8803999999999995,0.88
40,0.9,0.8809999999999996,0.88
41,0.9,0.8823999999999995,0.88
42,0.9,0.8847999999999995,0.88
43,0.92,0.889599999999999,0.88
44,0.92,0.9004000000000002,0.88
45,0.92,0.9056000000000013,0.9
46,0.92,0.9128000000000024,0.9
47,0.94,0.9202000000000014,0.92
48,0.94,0.9206000000000013,0.92
49,0.94,0.9218000000000014,0.92
50,0.94,0.9228000000000013,0.92
51,0.94,0.9246000000000012,0.92
52,0.94,0.9298000000000006,0.92
53,0.94,0.9377999999999992,0.92
54,0.96,0.9401999999999987,0.94
