index,genome,fitness
0,11110100100011101000100000101101011101001111001110,0.8
1,11110100100011101000100000001101011111000010011010,0.78
2,11110100100011101000100000101101011100001111001110,0.78
3,11100100100010101000100000001101011111000010011010,0.78
4,11100100100010101000100000001101011111000010011010,0.78
5,10100100100011101000100000001101011111000010011010,0.78
6,11100100100010101000100000001101011111000010011010,0.78
7,11110100100011101000100000001101011111000010011010,0.78
8,11110100100011101000100000001101011111000010011010,0.78
9,11110100100011101000100000001101011111000010011010,0.78
10,11110100100011101000100000001101011111000010011010,0.78
11,11100100100010101000100000101101011100001111001110,0.78
12,11100100100010101000100000001101011111000010011010,0.78
13,11100100100010101000100000101101011100001111001110,0.78
14,11110100100011101000100000001101011111000010011010,0.78
15,11110100100011101000100000001101011111000010011010,0.78
16,11110100100011101000100000001101011111000010011010,0.78
17,11110100100011101000100000001101011111000010011010,0.78
18,11110100100011101000100000101101011100001111001110,0.78
19,11110100100011101000100000001101011111000010011010,0.78
20,11100100100010101000100000001101011111000010011010,0.78
21,11110100100011101000100000001101011111000010011010,0.78
22,11110100100011101000100000001101011111000010011010,0.78
23,10100100100011101000100000101101011100001111001110,0.78
24,11100100100010101000100000001101011111000010011010,0.78
25,11100100100010101000100000101101011100001111001110,0.78
26,11110100100011101000100000001101011111000010011010,0.78
27,11110100100011101000100000001101011111000010011010,0.78
28,11110100100011101000100000001101011111000010011010,0.78
29,11110100100011101000100000001101011111000010011010,0.78
30,11110100100011101000100000101101011100001111001110,0.78
31,11100100100010101000100000101101011100001111001110,0.78
32,11110100100011101000100000001101011111000010011010,0.78
33,11100100100010101000100000001101011111000010011010,0.78
34,11110100100011101000100000101101011100001111001110,0.78
35,11100100100010101000100000001101011111000010011010,0.78
36,11110100100011101000100000001101011111000010011010,0.78
37,11110100100011101000100000001101011111000010011010,0.78
38,11110100100011101000100000101101011100001111001110,0.78
39,11100100100010101000100000101101011100001111001110,0.78
40,11110100100011101000100000001101011111000010011010,0.78
41,11110100100011101000100000001101011111000010011010,0.78
42,11110100100011101000100000001101011111000010011010,0.78
43,11110100100011101000100000001101011111000010011010,0.78
44,11110100100011101000100000001101011111000010011010,0.78
45,11110100100011101000100000001101011111000010011010,0.78
46,11100100100010101000100000101101011100001111001110,0.78
47,11110100100011101000100000001101011111000010011010,0.78
48,11110100100011101000100000001101011111000010011010,0.78
49,11100100100010101000100000001101011111000010011010,0.78
50,11110100100011101000100000001101011111000010011010,0.78
51,11100100100010101000100000001101011111000010011010,0.78
52,11110100100011101000100000001101011111000010011010,0.78
53,11110100100011101000100000001101011111000010011010,0.78
54,11100100100010101000100000001101011111000010011010,0.78
55,11110100100011101000100000001101011111000010011010,0.78
56,11110100100011101000100000001101011111000010011010,0.78
57,11100100100011101000100000101101011100000111001110,0.78
58,11110100100011101000100000001101011111000010011010,0.78
59,11100100100011101000100000101101011101001111001110,0.78
60,11100100100010101000100000001101011111000010011010,0.78
61,11100100100010101000100000001101011111000010011010,0.78
62,11110100100011101000100000001101011111000010011010,0.78
63,11110100100011101000100000001101011111000010011010,0.78
64,11100100100011101000100000001101011111000010011010,0.76
65,11100100100011101000100000001101011111000010011010,0.76
66,11100100100011101000100000001101011111000010011010,0.76
67,11100100100011101000100000001101011111000010011010,0.76
68,11100100100011101000100000101101011100001111001110,0.76
69,11100100100011101000100000001101011111000010011010,0.76
70,11100100100011101000100000001101011111000010011010,0.76
71,11100100100011101000100000001101011111000010011010,0.76
72,11100100100011101000100000001101011111000010011010,0.76
73,11100100100011101000100000001101011111000010011010,0.76
74,11100100100011101000100000001101011111000010011010,0.76
75,11100100100011101000100000001101011111000010011010,0.76
76,11100100100011101000100000101101011100001111001110,0.76
77,11100100100011101000100000001101011111000010011010,0.76
78,11100100100011101000100000101101011100001111001110,0.76
79,11100100100011101000100000001101011111000010011010,0.76
80,11100100100011101000100000001101011111000010011010,0.76
81,11100100100011101000100000001101011111000010011010,0.76
82,11100100100011101000100000001101011111000010011010,0.76
83,11100100100011101000100000101101011100001111001110,0.76
84,11100100100011101000100000001101011111000010011010,0.76
85,11100100100011101000100000101101011100001111001110,0.76
86,11100100100011101000100000001101011111000010011010,0.76
87,11100100100011101000100000101101011100001111001110,0.76
88,11100100100011101000100000001101011111000010011010,0.76
89,11100100100011101000100000001101011111000010011010,0.76
90,11100100100011101000100000101101011100001111001110,0.76
91,11100100100011101000100000001101011111000010011010,0.76
92,11100100100011101000100000001101011111000010011010,0.76
93,11100100100011101000100000001101011111000010011010,0.76
94,11100100100011101000100000001101011111000010011010,0.76
95,11100100100011101000100000001101011111000010011010,0.76
96,11100100100011101000100000001101011111000010011010,0.76
97,11100100100011101000100000101101011100001111001110,0.76
98,11100100100011101000100000001101011111000010011010,0.76
99,11100100100011101000100000001101011111000010011010,0.76
